name,link
Sun Lo Na (Raw) - Suzonn,https://youtu.be/tAPVdPLCvYU
Prateek Kuhad - Tune Kaha,https://youtu.be/GqagMyq2hGQ
BAARISHEIN - Anuv Jain,https://youtu.be/PJWemSzExXs
Umer Farooq - Patang,https://youtu.be/sWXK5Errxkk
The Local Train - Aalas Ka Pedh - Choo Lo,https://youtu.be/sFMRqxCexDk
Waqt ki Baatein - Dream Note,https://youtu.be/b-K4oDRk04M
Saansein,https://youtu.be/R3Ed4zvQ0Hs
Anuv Jain - ALAG AASMAAN ,https://youtu.be/vA86QFrXoho
Yeh Pal,https://youtu.be/0E-OZtDEW-M
Taba Chake - Walk With Me,https://youtu.be/OJLRRMye4YI
Umer Farooq - Teri Ay,https://youtu.be/UfvQjcu0c48
Prateek Kuhad - Kasoor,https://youtu.be/BmUe3-sfr7E
Jiyein Kyun | Tune Jo Na Kaha - Vivek Singh & Jugal,https://youtu.be/qKuczx4pgqw
Dastaan - Abdullah Qureshi,https://youtu.be/kwj10527CR0
Bharat Chauhan - Tu Hoti Toh,https://youtu.be/cVDASbWZ_KI
Naina Da Kya Kasoor ,https://youtu.be/zdXiSlRrgWQ
Raat Raazi,https://youtu.be/eMDODWVs7zg
Sham,https://youtu.be/VOFm2oB8t98
Bharat Chauhan - Ghar,https://youtu.be/e44meSqTkH0
Tu Kisi Rail Si ,https://youtu.be/GQEoKDivm58
Kho Gaye Hum Kahaan,https://youtu.be/VA0V8rQpqwQ
Prateek Kuhad - cold/mess,https://youtu.be/Il7Nv270zNk
beautiful brain - mabel ye,https://youtu.be/GaLV82vOSsQ
Arijit Singh - Pal,https://youtu.be/nDOpAEW2q2w
O Rangrez,https://youtu.be/5idNBcKDtvA
A.R. Rahman - Tum Tak,https://youtu.be/AGsn2ycFRqI
Kailash Kher - Teri Deewani,https://youtu.be/zZasH6qkn8M
Mora Saiyaan Mose Bole Na,https://youtu.be/MpdvAKR52MQ
Happy Together - The Turtles (1967),https://youtu.be/9ZEURntrQOg
Osho Jain - Kya Pata,https://youtu.be/eJYvwEdsLec
Osho Jain - Khush To Hai Na,https://youtu.be/kr5uqCDJRLQ
LIFAFA लिफाफा - MJRH,https://youtu.be/l9zHOqnqdsc
Na Main Hu Na Tu - Mayur Nagpal ,https://youtu.be/PtfiVm8eWCk
Rochak Kohli - Yeh Saari Baat ,https://youtu.be/S6MlMUFBr2o
Woh Ladki - Arijit Singh,https://youtu.be/1YqmSp22-60
